Player,Position,Round,Team
Nico Collins,WR,13,1
Jayden Daniels,QB,6,2
Malik Nabers,WR,2,2
Joe Burrow,QB,5,3
Wan'Dale Robinson,WR,14,4
Brian Thomas Jr.,WR,6,5
Puka Nacua,WR,13,5
James Cook,RB,5,6
Ladd McConkey,WR,5,7
Jaxon Smith-Njigba,WR,6,7
Drake London,WR,3,8
Kyren Williams,RB,13,8
Courtland Sutton,WR,7,9
Terry McLaurin,WR,4,9
Chase Brown,RB,6,10
Sam LaPorta,TE,11,11
Jameson Williams,WR,9,11
Bucky Irving,RB,8,12
De'Von Achane,RB,7,12
Brock Bowers,TE,6,13
Jahmyr Gibbs,RB,2,13
Rashee Rice,WR,13,14
Justin Herbert,QB,10,14
